Y,PI,R,U
"63003,0130473616","0,219755743906806","0,245375657536876","8,5"
"60643,6128259717","0,219876487892541","0,23438043354697","9,1"
"61276,6480971673","0,205461403840636","0,224685114452703","10,1"
"61849,1312119144","0,191692099510913","0,212845521413742",11
"66022,1702741892","0,174861929604506","0,203844103165968","10,8"
"66740,0583739713","0,162568733196557","0,192456729626454","10,7"
"69609,0950095723","0,148371674614145","0,182891360434987","10,3"
"69447,6124752221","0,142117546274331","0,167928491935781","10,3"
"66526,6734427809","0,132617806311261","0,161531041816679","9,9"
"71428,4008584884","0,12022054997554","0,160335720310214","9,7"
"74224,8798407693","0,107524643476359","0,161415605724026","9,6"
"74692,9968126573","0,095638055632826","0,162901337528931","9,2"
"69855,1884032336","0,093908214613472","0,155149114629177","8,9"
"63725,4895814834","0,088169608716757","0,153536520210808","9,1"
"62450,1987135765","0,089904607594632","0,145174627787608","9,9"
"64829,7723776349","0,085814505373756","0,144888892954455","10,7"
"68618,0113927932","0,077125414785406","0,149279221400751","10,7"
"70839,8312321627","0,07020643544347","0,152507512845729","10,5"
"71524,5530099766","0,060786163190036","0,159038026310283","10,2"
"71620,2981389982","0,055927923095776","0,160007939568911","10,2"
"71074,5844512002","0,054979011332635","0,157476336332736","10,5"
"75419,7800388535","0,054242734854138","0,156172637438078","10,5"
"73164,6176815909","0,052666414975468","0,171998349687397","10,5"
"69111,0001837461","0,052247318164489","0,18591732964335","10,2"
"66945,594634958","0,047359432816226","0,202439194146794","10,3"
"63801,4053514835","0,046942573340478","0,209168805019974","11,1"
"67739,6400941205","0,045171801900145","0,217879921150783",12
"68384,7888373652","0,038541052958669","0,226223019711938","12,4"
"71626,6534453816","0,039471923337777","0,2256744427776","12,4"
"71725,7818510932","0,034095700937383","0,231993068031419","12,3"
"73154,6400872963","0,030587493610316","0,237402187694148","12,1"
"72803,6822113806","0,025536604713846","0,242155702107608",12
"71439,2870112449","0,022666824089022","0,256642698646468","11,7"
"73629,6668122659","0,020524151904459","0,27498605410565","11,6"
"72930,6548522946","0,017569654509508","0,273583701318047","11,3"
"69488,7767290856","0,016556441670207","0,267786112744058","10,8"
"66950,2621396579","0,01645550269278","0,261835873292682","10,7"
"64100,4387743686","0,022425129873635","0,256653025287352","11,6"
"68974,3120189155","0,030169230917127","0,261042591461249","12,9"
"68128,0086796473","0,033457879698985","0,265010660539325","13,4"
"69520,0107590133","0,03140124710257","0,272382178431755","12,9"
"70765,4787102954","0,033154278616342","0,271091575222067","12,5"
"69264,6625011556","0,045670464811032","0,255321921472144","12,6"
"69060,0636393458","0,056916493530982","0,243092695172115","12,4"
"66828,2911044855","0,062530501764811","0,224455159577768","12,2"
"69397,6644933071","0,07495962281125","0,191991653413721","11,6"
"70287,4541519576","0,086475509839765","0,165043432538807","11,4"
"68880,2411447689","0,089399345060105","0,152817409829483","10,5"
"63905,732705347","0,088533883812788","0,145579081873036","10,6"
"63226,6234049217","0,078623431827555","0,145627448529726","10,5"
"63667,5457845786","0,069234820353686","0,134602231296477","11,3"
"62759,5240185775","0,067746227723917","0,124453018687122","11,8"
"67355,3438356695","0,064659025270877","0,12191063423709","11,8"
"69412,7744781492","0,065084081274579","0,118373104020534","11,7"
"68358,5289466764","0,070562800458106","0,108788727486784","11,6"
"68283,5877889389","0,078547308218086","0,098813687240644","11,2"
"64677,607949793","0,077687136902589","0,096835237249682",11
"68704,5214963262","0,066504495399005","0,107285170340751","10,4"
"68904,5005662161","0,05984874669072","0,112407857312698","10,3"
"67224,5246646389","0,059743393932599","0,108122426816926",10
"64798,1189252001","0,059216787197392","0,106589837180396","10,1"
"64015,4806273648","0,062707664454708","0,098224922359818","10,7"
"67672,0899746894","0,0644042641984","0,094405667199102","11,2"
"66465,3965110797","0,06610018814056","0,091485881588754","11,5"
"68407,4756750279","0,070364162495687","0,085455084949073",11
"63634,3586202484","0,073461095620736","0,081059326556104","10,7"
"66088,9155451683","0,07050302941885","0,086100906965197","10,9"
"66860,7695024362","0,064057398701788","0,094776565470107","11,3"
"64035,4904792192","0,064588206543103","0,095319157019095","11,5"
"67442,0298064911","0,071923595623538","0,090478116253149","11,9"
"67935,0751978892","0,076090762711788","0,088117613152418","11,7"
"65015,3323475158","0,07673263015152","0,089568445954102","11,6"
"64526,135537791","0,076197315132055","0,093004991413164","11,3"
"63893,9245311199","0,075126045656511","0,096610964081179",12
"67810,7880229586","0,077482368928522","0,095439075052393","12,8"
"68444,0510045091","0,079839160747614","0,096258622415211","13,3"
"69475,792292418","0,077688300951283","0,099294404987958","12,8"
"68219,7923597401","0,076616187639553","0,100994496868702",12
"68708,2979067099","0,075128708450077","0,102924594017324","11,5"
"67620,6776052539","0,074594880888781","0,101771702826404","11,8"
"64506,6604536914","0,07930989632148","0,097575168903513","12,2"
"65849,6103058922","0,084447938077251","0,093568997198844","12,3"
"63545,4797564307","0,109322079045958","0,070603186628203",12
"59270,3984764973","0,12530337079575","0,059030484026425","11,4"
"56644,4716951457","0,144670410504034","0,045596486855622","11,2"
"57595,8761466845","0,158471239486794","0,039080763055615","11,9"
"59812,5844542081","0,165726079256941","0,036746594746177","12,7"
"60726,167999233","0,167692085541402","0,03895844071607","13,6"
"60363,7054566515","0,172353065824971","0,04044364958463","13,4"
"60085,5844934662","0,165698602097425","0,051831869934243","13,2"
"63686,0066874684","0,154293901869375","0,067965678385207","12,7"
"62793,2188022034","0,150738699588406","0,074759078078502","12,9"
"63747,2911220178","0,151424207153689","0,077279053151203","13,2"
"66189,4132327797","0,139831544126378","0,088194146490942","13,2"
"65329,0189177062","0,110179548996707","0,11508692925153","12,6"
"65004,4707776657","0,092999493292351","0,128504175376825",12
"60613,2217520499","0,077072165712835","0,137288962435334","11,9"
"59259,5191635014","0,066892099954399","0,139729724990384","12,6"
"64671,8804404396","0,058882241256727","0,143861685549087","13,3"
"63772,0990530503","0,052589982717022","0,142908480269297","13,2"
"63872,4611018283","0,051543774603795","0,135770353092682","12,3"
"65370,9194270419","0,060600636358019","0,119142142743365","11,8"
"66993,9579081155","0,068115870408061","0,102588015821792","11,7"
"65281,2305142775","0,071841608445163","0,093566033224361","11,7"
"63248,0232037981","0,067055651670006","0,093845129818767","11,4"
"65142,3285709413","0,06865160687741","0,087603421781941","10,8"
"67029,2568937838","0,072379213638493","0,082833168822782","10,4"
"67264,4673848724","0,076006441380604","0,080349402617612",10
"61436,6963960173","0,074084238527801","0,08352608906121","9,9"
"60127,2259505955","0,073870724117995","0,085175928076023","10,4"
"65010,8657309994","0,075367110117562","0,085259177829863","10,9"
"65314,472137834","0,080724124714143","0,082330969871885","11,1"
"65598,2850852482","0,080509076634406","0,085490055136912",11
"67151,1206173171","0,072676968343838","0,097257895930119",11
"68612,9642642307","0,065661144351102","0,106929316356802","10,8"
"70348,464300811","0,060157680302413","0,116683849553315","10,6"
"68294,2717887093","0,060369014435833","0,119237897334334","10,4"
"70721,8066422075","0,063641758307549","0,117932120357935","10,6"
"72579,4647963366","0,062162864215156","0,120926626610211","10,2"
"73904,4178478698","0,056897333458587","0,126408464615642","9,7"
"68600,4255949487","0,057002413726379","0,126801232147357","9,5"
"66020,1386403628","0,055110968906112","0,12800569883702","10,2"
"70681,3238454323","0,053223284039765","0,128848996232935","10,9"
"68736,0777130761","0,046331964842122","0,132545333678169","11,2"
"73232,5917425515","0,042271168083356","0,13447454937778","11,3"
"73188,5567522317","0,040290456721725","0,132145486159454","11,3"
"75964,6743738027","0,039667838992017","0,129013840640517","11,3"
"76694,3807946922","0,038422354908168","0,125895610192923","10,7"
"73316,0238860093","0,036973634134006","0,122516449828253","10,3"
"77510,4551519494","0,032650766378807","0,123737175136451","9,6"
"79032,3366095153","0,030185960969251","0,122421072519801","9,1"
"79411,2813983762","0,031417749683044","0,115714739799023",9
"75419,8788522547","0,029879697566011","0,113563608836102",9
"72241,6920176941","0,030187399895728","0,110230895876336","9,7"
"77377,4044678659","0,029571933959317","0,106841032815129","10,4"
"76398,718078114","0,029982899704836","0,104942983036488","10,9"
"80324,7346875981","0,031835016807202","0,100201336243417","10,6"
"80982,3107803565","0,036901648315725","0,091809073192782","10,3"
"82384,8912824488","0,037419115951376","0,089135914466717","10,5"
"81669,1289628909","0,041774098746973","0,081759177948174","10,4"
"76599,3599091551","0,041462221459652","0,079380994871527","10,5"
"82488,5938528901","0,041150810449547","0,077944159158397",10
"81631,6487417146","0,04187736370178","0,075316346653587",10
"80618,7984012848","0,044573304332378","0,071019941033489","9,3"
"78115,0366433331","0,04561330164852","0,068330691525135","9,3"
"76321,9297767588","0,046133818027278","0,067055398882985","9,1"
"78866,2721370514","0,047280323158123","0,063697156821354","9,6"
"80144,3835800991","0,050414329112711","0,060067525069085","9,8"
"80611,5415275229","0,055756484157062","0,053124030643831","9,8"
"82483,3778858508","0,060599403809158","0,048834351151314","9,7"
"85344,7893195418","0,06366777798219","0,046813838042125","9,6"
"82942,8018503514","0,061656263322923","0,04905697794576","9,4"
"81424,4439290155","0,062504062295431","0,051320063464833","9,3"
"85176,5261353637","0,064093051421495","0,052312835206902","8,5"
"82137,4511717268","0,063881038460463","0,054352266617294","8,6"
"80583,7764100598","0,059023134175255","0,062123659634986","8,3"
"76162,8454200928","0,058391133100553","0,064004981691779","9,2"
"74454,6979281067","0,059023071283318","0,063927812141157","9,8"
"80670,1571021074","0,056071971960474","0,068237075720397","10,8"
"79829,5925613562","0,05533676521719","0,068326000803836","10,9"
"82380,1702690713","0,051986157370484","0,070603618412757","10,8"
"84913,7034310417","0,048017974525529","0,072598442421688","10,3"
"88483,0546959811","0,04499474551317","0,072726423812437","10,5"
"88030,3076516374","0,043640045504029","0,070674749400188","10,1"
"87480,7566156223","0,043431858780409","0,066552539884765","10,1"
"93306,5610035752","0,041665971114977","0,063269553860944","9,9"
"94216,7428030598","0,042184935827569","0,058953158097068","9,4"
"96945,8472255759","0,0431202832969","0,053880451239547","8,5"
"88460,2808841399","0,045923253803371","0,047022323778146",8
"86521,8304459401","0,048315718730022","0,041887029367588","8,5"
"93782,9976802582","0,051663633201016","0,036401066696492","9,6"
"91748,2804045681","0,052605608987124","0,033732369626403","9,8"
"92948,2095083463","0,05218653638476","0,033929755812236","9,7"
"94105,6858650155","0,048412252276564","0,037938451016168","9,5"
"97247,8345092294","0,04600667747585","0,041046578583745","9,4"
"96696,5063155843","0,044857793456655","0,044222570824509","9,3"
"94793,3169976745","0,047046741347975","0,043656586134012","8,7"
"97716,8848637101","0,051954120371046","0,039987275876733","8,4"
"99461,8308640102","0,056354286993453","0,037198582009596","8,1"
"98824,0452577312","0,059090683472662","0,036340051200594","7,4"
"91704,5235961354","0,059931648779638","0,037599180099539",8
"91322,599538986","0,06014199441345","0,040011852116332","8,1"
"94280,518565539","0,06298957040322","0,038877658376551",9
"94131,476962274","0,065103500144501","0,038568294484087","8,8"
"98748,7355625806","0,065527717410316","0,040607102711502","8,5"
"100129,369582466","0,067126008986432","0,040762674557439","8,7"
"100797,814453884","0,068726537947015","0,040315589643585","8,8"
"101169,197162214","0,072251925367272","0,038786896168549",9
"96415,4833531887","0,073105884093299","0,038904641278214","8,5"
"100503,034067479","0,069697508084267","0,042958843162347","7,9"
"103010,004334475","0,066408742563033","0,04669919515253","7,5"
"103720,857893493","0,065031090406288","0,048053134409942","6,9"
"97011,6189614522","0,062179177340637","0,051166071888945","7,6"
"96970,0760344355","0,058491055197093","0,053833506226863","8,4"
"103253,361020195","0,052399926989787","0,058889641518104","9,1"
"99285,8938137662","0,051042261111959","0,058908564824217","9,1"
"103142,389824829","0,049891523093424","0,057515588171852","8,8"
"102028,997864863","0,049157699762255","0,054955629953696",9
"104509,823836804","0,051985900430543","0,049119245619071","9,1"
